"DATE","count"
2017-12-21,12
2017-12-22,23
2017-12-23,20
2017-12-24,22
2017-12-25,8
2017-12-26,15
2017-12-27,15
2017-12-28,9
2017-12-29,13
2017-12-30,20
2017-12-31,15
2018-01-01,9
2018-01-02,11
2018-01-03,20
2018-01-04,30
2018-01-05,13
2018-01-06,12
2018-01-07,13
2018-01-08,26
2018-01-09,19
2018-01-10,13
2018-01-11,34
2018-01-12,23
2018-01-13,9
2018-01-14,24
2018-01-15,24
2018-01-16,30
2018-01-17,25
2018-01-18,27
2018-01-19,28
2018-01-20,22
2018-01-21,22
2018-01-22,23
2018-01-23,16
2018-01-24,26
2018-01-25,29
2018-01-26,24
2018-01-27,28
2018-01-28,18
2018-01-29,17
2018-01-30,28
2018-01-31,21
2018-02-01,15
2018-02-02,20
2018-02-03,26
2018-02-04,18
2018-02-05,23
2018-02-06,14
2018-02-07,19
2018-02-08,35
2018-02-09,21
2018-02-10,25
2018-02-11,28
2018-02-12,22
2018-02-13,29
2018-02-14,29
2018-02-15,36
2018-02-16,15
2018-02-17,20
2018-02-18,34
2018-02-19,27
2018-02-20,31
2018-02-21,24
2018-02-22,36
2018-02-23,34
2018-02-24,21
2018-02-25,25
2018-02-26,36
2018-02-27,25
2018-02-28,30
2018-03-01,28
2018-03-02,26
2018-03-03,22
2018-03-04,22
2018-03-05,33
2018-03-06,21
2018-03-07,40
2018-03-08,15
2018-03-09,29
2018-03-10,20
2018-03-11,16
2018-03-12,23
2018-03-13,25
2018-03-14,25
2018-03-15,21
2018-03-16,16
2018-03-17,16
2018-03-18,23
2018-03-19,31
2018-03-20,35
2018-03-21,29
2018-03-22,21
2018-03-23,24
2018-03-24,23
2018-03-25,20
2018-03-26,28
2018-03-27,16
2018-03-28,31
2018-03-29,26
2018-03-30,23
2018-03-31,12
2018-04-01,23
2018-04-02,23
2018-04-03,27
2018-04-04,31
2018-04-05,24
2018-04-06,39
2018-04-07,18
2018-04-08,24
2018-04-09,30
2018-04-10,21
2018-04-11,32
2018-04-12,40
2018-04-13,26
2018-04-14,13
2018-04-15,12
2018-04-16,22
2018-04-17,23
2018-04-18,27
2018-04-19,17
2018-04-20,18
2018-04-21,13
2018-04-22,18
2018-04-23,19
2018-04-24,14
2018-04-25,29
2018-04-26,19
2018-04-27,34
2018-04-28,20
2018-04-29,16
2018-04-30,21
2018-05-01,10
2018-05-02,21
2018-05-03,11
2018-05-04,23
2018-05-05,25
2018-05-06,29
2018-05-07,24
2018-05-08,23
2018-05-09,34
2018-05-10,26
2018-05-11,23
2018-05-12,21
2018-05-13,14
2018-05-14,21
2018-05-15,28
2018-05-16,24
2018-05-17,26
2018-05-18,19
2018-05-19,19
2018-05-20,20
2018-05-21,23
2018-05-22,19
2018-05-23,20
2018-05-24,25
2018-05-25,24
2018-05-26,14
2018-05-27,28
2018-05-28,31
2018-05-29,29
2018-05-30,17
2018-05-31,17
2018-06-01,11
2018-06-02,7
2018-06-03,9
2018-06-04,33
2018-06-05,18
2018-06-06,20
2018-06-07,25
2018-06-08,14
2018-06-09,18
2018-06-10,25
2018-06-11,21
2018-06-12,23
2018-06-13,17
2018-06-14,19
2018-06-15,14
2018-06-16,19
2018-06-17,18
2018-06-18,26
2018-06-19,37
2018-06-20,31
2018-06-21,25
2018-06-22,25
2018-06-23,20
2018-06-24,23
2018-06-25,17
2018-06-26,28
2018-06-27,26
2018-06-28,15
2018-06-29,9
2018-06-30,17
2018-07-01,9
2018-07-02,15
2018-07-03,22
2018-07-04,19
2018-07-05,19
2018-07-06,27
2018-07-07,14
2018-07-08,17
2018-07-09,32
2018-07-10,18
2018-07-11,24
2018-07-12,32
2018-07-13,30
2018-07-14,26
2018-07-15,28
2018-07-16,20
2018-07-17,25
2018-07-18,23
2018-07-19,20
2018-07-20,16
2018-07-21,22
2018-07-22,16
2018-07-23,34
2018-07-24,28
2018-07-25,29
2018-07-26,19
2018-07-27,25
2018-07-28,21
2018-07-29,20
2018-07-30,29
2018-07-31,35
2018-08-01,25
2018-08-02,17
2018-08-03,22
2018-08-04,22
2018-08-05,21
2018-08-06,24
2018-08-07,33
2018-08-08,35
2018-08-09,24
2018-08-10,27
2018-08-11,20
2018-08-12,29
2018-08-13,31
2018-08-14,32
2018-08-15,39
2018-08-16,31
2018-08-17,21
2018-08-18,35
2018-08-19,33
2018-08-20,33
2018-08-21,28
2018-08-22,32
2018-08-23,25
2018-08-24,35
2018-08-25,25
2018-08-26,25
2018-08-27,40
2018-08-28,24
2018-08-29,28
2018-08-30,40
2018-08-31,25
2018-09-01,26
2018-09-02,15
2018-09-03,26
2018-09-04,31
2018-09-05,24
2018-09-06,29
2018-09-07,22
2018-09-08,14
2018-09-09,29
2018-09-10,33
2018-09-11,14
2018-09-12,27
2018-09-13,20
2018-09-14,20
2018-09-15,23
2018-09-16,33
2018-09-17,19
2018-09-18,21
2018-09-19,35
2018-09-20,22
2018-09-21,22
2018-09-22,18
2018-09-23,25
2018-09-24,30
2018-09-25,38
2018-09-26,25
2018-09-27,30
2018-09-28,28
2018-09-29,19
2018-09-30,25
2018-10-01,34
2018-10-02,15
2018-10-03,15
2018-10-04,26
2018-10-05,25
2018-10-06,27
2018-10-07,8
2018-10-08,20
2018-10-09,32
2018-10-10,21
2018-10-11,25
2018-10-12,24
2018-10-13,19
2018-10-14,21
2018-10-15,34
2018-10-16,27
2018-10-17,27
2018-10-18,26
2018-10-19,19
2018-10-20,23
2018-10-21,27
2018-10-22,24
2018-10-23,35
2018-10-24,18
2018-10-25,19
2018-10-26,18
2018-10-27,23
2018-10-28,14
2018-10-29,31
2018-10-30,34
2018-10-31,24
2018-11-01,34
2018-11-02,16
2018-11-03,13
2018-11-04,22
2018-11-05,29
2018-11-06,18
2018-11-07,23
2018-11-08,22
2018-11-09,29
2018-11-10,22
2018-11-11,31
2018-11-12,34
2018-11-13,29
2018-11-14,20
2018-11-15,32
2018-11-16,27
2018-11-17,23
2018-11-18,23
2018-11-19,27
2018-11-20,28
2018-11-21,20
2018-11-22,39
2018-11-23,26
2018-11-24,25
2018-11-25,25
2018-11-26,32
2018-11-27,13
2018-11-28,30
2018-11-29,20
2018-11-30,27
2018-12-01,19
2018-12-02,29
2018-12-03,39
2018-12-04,22
2018-12-05,26
2018-12-06,35
2018-12-07,21
2018-12-08,21
2018-12-09,21
2018-12-10,19
2018-12-11,25
2018-12-12,31
2018-12-13,24
2018-12-14,25
2018-12-15,19
2018-12-16,33
2018-12-17,30
2018-12-18,22
2018-12-19,38
2018-12-20,28
2018-12-21,28
2018-12-22,18
2018-12-23,22
2018-12-24,11
2018-12-25,6
2018-12-26,20
2018-12-27,22
2018-12-28,23
2018-12-29,17
2018-12-30,14
